"%Inc Armour from Tree","방어 증가%(트리)"
"{0}% increased Elemental Damage per {1} Dexterity","민첩 {1}당 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage per {1} Strength","힘 {1}당 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage per Frenzy Charge","격분 충전 하나당 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage per Level","레벨당 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage per Sextant affecting the area","지역에 영향을 주는 육분의당 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage taken during any Flask Effect","플라스크 효과를 받는 동안 받는 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage taken if you haven't been Hit Recently","최근에 피격되지 않은 경우 받는 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage taken while at Maximum Endurance Charges","최대 인내 충전 상태에서 받는 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage taken while you have an Endurance Charge","인내 충전을 보유하는 동안 받는 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage while in an area affected by a Sextant","육분의 영향 지역에 있는 동안 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage with Attack Skills during any Flask Effect","플라스크 효과를 받는 동안 공격 스킬의 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage with Bows","소환수가 주는 무기 사용 시 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage with Staves","지팡이 사용 시 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage with Weapons","무기 사용 시 원소 피해 {0}% 증가"
"{0}% increased Elemental Damage with Weapons per Power Charge","권능 충전 하나당 무기 사용 시 원소 피해 {0}% 증가"
"{0}% increased Elemental Weakness Curse Effect","원소 약화 저주 효과 {0}% 증가"
"{0}% increased Elusive Effect","도피 효과 {0}% 증가"
"{0}% increased Endurance, Frenzy and Power Charge Duration","인내, 격분, 권능 충전 지속시간 {0}% 증가"
"{0}% increased Enduring Cry Cooldown Recovery Speed","인내의 함성 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Enemy Stun Threshold with this Weapon","이 무기 사용 시 적 기절 한계치 {0}% 증가"
"{0}% increased Energy Shield during Flask effect","플라스크 효과를 받는 동안 에너지 보호막 {0}% 증가"
"{0}% increased Energy Shield from Equipped Shield","장착한 방패로 얻는 에너지 보호막 {0}% 증가"
"{0}% increased Energy Shield per Power Charge","권능 충전 하나당 에너지 보호막 {0}% 증가"
"{0}% increased Energy Shield Recharge Rate during any Flask Effect","플라스크 효과를 받는 동안 에너지 보호막 재충전 속도 {0}% 증가"
"{0}% increased Energy Shield Recovery Rate while affected by Discipline","단련의 영향을 받는 동안 에너지 보호막 회복 속도 {0}% 증가"
"{0}% increased Enfeeble Curse Effect","쇠약화 저주 효과 {0}% 증가"
"{0}% increased Essence Drain Damage","정수 흡수 피해 {0}% 증가"
"{0}% increased Ethereal Knives Damage","천상의 단도 피해 {0}% 증가"
"{0}% increased Evasion and Energy Shield","회피 및 에너지 보호막 {0}% 증가"
"{0}% increased Evasion if you have Hit an Enemy Recently","최근에 적을 타격한 경우 회피 {0}% 증가"
"{0}% increased Evasion Rating and Armour","회피 및 방어도 {0}% 증가"
"{0}% increased Evasion Rating during Onslaught","맹공 상태일 때 회피 {0}% 증가"
"{0}% increased Evasion Rating if you haven't been Hit Recently","{0}% increased Evasion Rating if you haven't been Hit Recently"
"{0}% increased Evasion Rating per {1} Dexterity Allocated in Radius","반경 내 할당된 민첩 {1}당 회피 {0}% 증가"
"{0}% increased Evasion Rating per Frenzy Charge","격분 충전 하나당 회피 {0}% 증가"
"{0}% increased Evasion while Leeching","흡수하는 동안 회피 {0}% 증가"
"{0}% increased Experience gain","경험치 획득 {0}% 증가"
"{0}% increased Experience Gain of Gems","젬의 경험치 획득 {0}% 증가"
"{0}% increased Explosive Arrow Area of Effect","폭발 화살 효과 범위 {0}% 증가"
"{0}% increased Explosive Arrow Damage","폭발 화살 피해 {0}% 증가"
"{0}% increased Fire Attack Damage while Dual Wielding","{0}% increased Fire Attack Damage while Dual Wielding"
"{0}% increased Fire Damage","화염 피해 {0}% 증가"
"{0}% increased Fire Damage if you have used a Cold Skill Recently","최근에 냉기 스킬을 사용한 경우 화염 피해 {0}% 증가"
"{0}% increased Fire Damage per {1} Strength","힘 {1}당 화염 피해 {0}% 증가"
"{0}% increased Fire Damage taken","받는 화염 피해 {0}% 증가"
"{0}% increased Fire Damage while affected by Anger","분노의 영향을 받는 동안 화염 피해 {0}% 증가"
"{0}% increased Fire Damage with Attack Skills","공격 스킬의 화염 피해 {0}% 증가"
"{0}% increased Fire Damage with Bows","활 사용 시 화염 피해 {0}% 증가"
"{0}% increased Fire Damage with Daggers","단검 사용 시 화염 피해 {0}% 증가"
"{0}% increased Fire Damage with Hits and Ailments against Blinded Enemies","실명된 적에게 주는 타격 및 상태 이상 화염 피해 {0}% 증가"
"{0}% increased Fire Damage with Maces or Sceptres","{0}% increased Fire Damage with Maces or Sceptres"
"{0}% increased Fire Damage with Spell Skills","주문 스킬로 주는 화염 피해 {0}% 증가"
"{0}% increased Fire Damage with Swords","검 사용 시 화염 피해 {0}% 증가"
"{0}% increased Fire Damage with Wands","마법봉 사용 시 화염 피해 {0}% 증가"
"{0}% increased Fire Nova Cast Speed","화염 폭발 시전 속도 {0}% 증가"
"{0}% increased Fire Resistance","{0}% increased Fire Resistance"
"{0}% increased Fire Trap Burning Ground Duration","화염 덫 용암 지대 지속시간 {0}% 증가"
"{0}% increased Fire Trap Damage","화염 덫 피해 {0}% 증가"
"{0}% increased Fireball Cast Speed","화염구 시전 속도 {0}% 증가"
"{0}% increased Firestorm Damage","화염 폭풍 피해 {0}% 증가"
"{0}% increased Firestorm explosion Area of Effect","화염 폭풍 폭발 효과 범위 {0}% 증가"
"{0}% increased Fishing Line Strength","낚싯줄 강도 {0}% 증가"
"{0}% increased Fishing Range","낚시 사거리 {0}% 증가"
"{0}% increased Flame Dash Damage","화염 질주 피해 {0}% 증가"
"{0}% increased Flame Surge Damage","화염 쇄도 피해 {0}% 증가"
"{0}% increased Flameblast Area of Effect","화염파 효과 범위 {0}% 증가"
"{0}% increased Flameblast Damage","화염파 피해 {0}% 증가"
"{0}% increased Flammability Duration","인화성 지속시간 {0}% 증가"
"{0}% increased Flask Charges gained during any Flask Effect","플라스크 효과를 받는 동안 획득하는 플라스크 충전 {0}% 증가"
"{0}% increased Flask Charges used from Mana Flasks","{0}% increased Flask Charges used from Mana Flasks"
"{0}% increased Flask Life Recovery rate","플라스크로 얻는 생명력 회복 속도 {0}% 증가"
"{0}% increased Flask Recovery rate","플라스크 회복 속도 {0}% 증가"
"{0}% increased Flicker Strike Cooldown Recovery Speed","점멸 타격 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Flicker Strike Damage per Frenzy Charge","격분 충전 하나당 점멸 타격 피해 {0}% 증가"
"{0}% increased Fortify Duration per {1} Strength","힘 {1}당 방어 상승 지속시간 {0}% 증가"
"{0}% increased Fortify effect per Stage","단계당 방어 상승 {0}% 증가"
"{0}% increased Freeze Duration on you","동결 지속시간 {0}% 증가"
"{0}% increased Freeze Mine Damage","동결 지뢰 피해 {0}% 증가"
"{0}% increased Freezing Pulse Damage","동결 파동 피해 {0}% 증가"
"{0}% increased Freezing Pulse Projectile Speed","동결 파동 투사체 속도 {0}% 증가"
"{0}% increased Frenzy Charge Duration per Frenzy Charge","격분 충전 하나당 격분 충전 지속시간 {0}% 증가"
"{0}% increased Frenzy Damage per Frenzy Charge","격분 충전 하나당 격분 피해 {0}% 증가"
"{0}% increased Frost Blades Damage","서리 칼날 피해 {0}% 증가"
"{0}% increased Frost Bomb Area of Effect","서리 폭탄 효과 범위 {0}% 증가"
"{0}% increased Frost Bomb Damage","서리 폭탄 피해 {0}% 증가"
"{0}% increased Frost Wall Damage","서리 방벽 피해 {0}% 증가"
"{0}% increased Frostbite Curse Effect","동상 저주 효과 {0}% 증가"
"{0}% increased Frostbolt Cast Speed","서리 구체 시전 속도 {0}% 증가"
"{0}% increased Galvanic Arrow Area of Effect","{0}% increased Galvanic Arrow Area of Effect"
"{0}% increased Glacial Cascade Area of Effect","빙하 폭포 효과 범위 {0}% 증가"
"{0}% increased Glacial Hammer Damage","빙하 망치 피해 {0}% 증가"
"{0}% increased Global Armour while you have no Energy Shield","에너지 보호막이 없는 동안 일반 방어도 {0}% 증가"
"{0}% increased Global Attack Speed per Level","레벨당 일반 공격 속도 {0}% 증가"
"{0}% increased Global Critical Strike Chance if Corrupted","타락 시 일반 치명타 확률 {0}% 증가"
"{0}% increased Global Critical Strike Chance if you've Summoned a Totem Recently","최근 4초 이내 토템이 소환된 경우 일반 치명타 확률 {0}% 증가"
"{0}% increased Global Critical Strike Chance when in Main Hand","주 무기 사용 시 일반 치명타 확률 {0}% 증가"
"{0}% increased Global Critical Strike Chance while wielding a Staff","지팡이 장착 시 일반 치명타 확률 {0}% 증가"
"{0}% increased Global Defences","일반 방어력 {0}% 증가"
"{0}% increased Global Evasion Rating when on Full Life","최대 생명력인 경우 일반 회피 {0}% 증가"
"{0}% increased Global Physical Damage","일반 물리 피해 {0}% 증가"
"{0}% increased Global Physical Damage with Weapons per Red Socket","붉은 홈당 무기 사용 시 일반 물리 피해 {0}% 증가"
"{0}% increased Golem Damage per Summoned Golem","소환된 골렘 하나당 골렘 피해 {0}% 증가"
"{0}% increased Ground Slam Area of Effect","대지 강타 효과 범위 {0}% 증가"
"{0}% increased Heavy Strike Attack Speed","묵직한 타격 공격 속도 {0}% 증가"
"{0}% increased Herald of Ash Damage","재의 전령 피해 {0}% 증가"
"{0}% increased Herald of Thunder Damage","천둥의 전령 피해 {0}% 증가"
"{0}% increased Ice Crash Area of Effect","얼음 충격 효과 범위 {0}% 증가"
"{0}% increased Ice Nova Area of Effect","얼음 폭발 효과 범위 {0}% 증가"
"{0}% increased Ice Shot Area of Effect","얼음 화살 효과 범위 {0}% 증가"
"{0}% increased Ice Shot Duration","얼음 화살 지속시간 {0}% 증가"
"{0}% increased Ice Spear Damage","얼음 창 피해 {0}% 증가"
"{0}% increased Ice Trap Cooldown Recovery Speed","얼음 덫 재사용 대기시간 회복 속도 {0}% 증가"
"{0}% increased Icicle Mine Throwing Speed","{0}% increased Icicle Mine Throwing Speed"
"{0}% increased Ignite Duration on Enemies","적에게 적용되는 점화 지속시간 {0}% 증가"
"{0}% increased Immortal Call Duration","불멸의 외침 지속시간 {0}% 증가"
"{0}% increased Impale Effect","꿰뚫기 효과 {0}% 증가"
"{0}% increased Incinerate Damage","소각 피해 {0}% 증가"
"{0}% increased Incinerate Projectile Speed","소각 투사체 속도 {0}% 증가"
"{0}% increased Infernal Blow Damage","지옥불 강타 피해 {0}% 증가"
"{0}% increased Inspiration Charge Duration","{0}% increased Inspiration Charge Duration"
"{0}% increased Intelligence for each Unique Item Equipped","장착한 고유 아이템 하나당 지능 {0}% 증가"
"{0}% increased Item Quantity per White Socket","하얀색 홈당 아이템 수량 {0}% 증가"
"{0}% increased Kinetic Blast Area of Effect","역학 폭발 효과 범위 {0}% 증가"
"{0}% increased Knockback Distance","밀어내기 거리 {0}% 증가"
"{0}% increased Lacerate Critical Strike Chance","연속 베기 치명타 확률 {0}% 증가"
"{0}% increased Leap Slam Area of Effect","도약 강타 효과 범위 {0}% 증가"
"{0}% increased Leap Slam Damage","도약 강타 피해 {0}% 증가"
"{0}% increased Life Recovered","생명력 회복 {0}% 증가"
"{0}% increased Life Recovery from Flasks used when on Low Life","낮은 생명력 상태에서 플라스크로 회복되는 생명력 {0}% 증가"
"{0}% increased Life Recovery rate","생명력 회복 속도 {0}% 증가"
"{0}% increased Life Recovery Rate per {1} Strength on Allocated Passives in Radius","{0}% increased Life Recovery Rate per {1} Strength on Allocated Passives in Radius"
"{0}% increased Life Recovery Rate while affected by Vitality","활력의 영향을 받는 동안 생명력 회복 속도 {0}% 증가"
"{0}% increased Life Regeneration rate when on Full Energy Shield","에너지 보호막이 가득 찬 상태에서 생명력 재생 속도 {0}% 증가"
"{0}% increased Light Radius","시야 반경 {0}% 증가"
"{0}% increased Light Radius while Phasing","차원 능력을 사용하는 동안 빛 반경 {0}% 증가"
"{0}% increased Lightning Arrow Damage","번개 화살 피해 {0}% 증가"
"{0}% increased Lightning Damage per {1} Intelligence","지능 {1}당 번개 피해 {0}% 증가"
"{0}% increased Lightning Damage per Frenzy Charge","격분 충전 하나당 번개 피해 {0}% 증가"
"{0}% increased Lightning Damage while affected by Herald of Thunder","천둥의 전령의 영향을 받는 동안 번개 피해 {0}% 증가"
"{0}% increased Lightning Damage with Attack Skills","공격 스킬의 번개 피해 {0}% 증가"
"{0}% increased Lightning Damage with Spell Skills","주문 스킬로 주는 번개 피해 {0}% 증가"
"{0}% increased Lightning Resistance","{0}% increased Lightning Resistance"
"{0}% increased Lightning Tendrils Area of Effect","덩굴 번개 효과 범위 {0}% 증가"
"{0}% increased Lightning Tendrils Damage","덩굴 번개 피해 {0}% 증가"
"{0}% increased Lightning Trap Damage","번개 덫 피해 {0}% 증가"
"{0}% increased Lightning Warp Cast Speed","번개 차원 이동 시전 속도 {0}% 증가"
"{0}% increased Lightning Warp Duration","번개 차원 이동 지속시간 {0}% 증가"
"{0}% increased Magma Orb Area of Effect","마그마 보주 효과 범위 {0}% 증가"
