"Life Regen","생명력 재생"
"Adds {0} to {1} Lightning Damage to Bow Attacks","활 공격 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Lightning Damage to Claw Attacks","클로 공격 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Lightning Damage to Dagger Attacks","단검 공격 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Lightning Damage to Staff Attacks","지팡이 공격 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Lightning Damage to Sword Attacks","검 공격 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Physical Damage to Attacks while holding a Shield","방패를 들고 있는 동안 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Unarmed Attacks","비무장 상태에서 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Axe Attacks","도끼 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Claw Attacks","클로 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Dagger Attacks","단검 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Staff Attacks","지팡이 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Sword Attacks","검 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Wand Attacks","마법봉 공격 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Chaos Damage to Spells while Dual Wielding","쌍수 사용 시 주문 시전 시 {0}~{1}의 카오스 피해 추가"
"Adds {0} to {1} Chaos Damage to Spells while holding a Shield","방패를 들고 있는 동안 주문 시전 시 {0}~{1}의 카오스 피해 추가"
"Adds {0} to {1} Chaos Damage to Spells while wielding a Two Handed Weapon","양손 무기 사용 시 주문 시전 시 {0}~{1}의 카오스 피해 추가"
"Adds {0} to {1} Cold Damage to Spells while Dual Wielding","쌍수 사용 시 주문 시전 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Cold Damage to Spells while holding a Shield","방패를 들고 있는 동안 주문 시전 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Cold Damage to Spells while wielding a Two Handed Weapon","양손 무기 사용 시 주문 시전 시 {0}~{1}의 냉기 피해 추가"
"Adds {0} to {1} Fire Damage to Spells while Dual Wielding","쌍수 사용 시 주문 시전 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Fire Damage to Spells while holding a Shield","방패를 들고 있는 동안 주문 시전 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Fire Damage to Spells while wielding a Two Handed Weapon","양손 무기 사용 시 주문 시전 시 {0}~{1}의 화염 피해 추가"
"Adds {0} to {1} Lightning Damage to Spells while Dual Wielding","쌍수 사용 시 주문 시전 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Lightning Damage to Spells while holding a Shield","방패를 들고 있는 동안 주문 시전 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Lightning Damage to Spells while wielding a Two Handed Weapon","양손 무기 사용 시 주문 시전 시 {0}~{1}의 번개 피해 추가"
"Adds {0} to {1} Physical Damage to Spells while Dual Wielding","쌍수 사용 시 주문 시전 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Spells while holding a Shield","방패를 들고 있는 동안 주문 시전 시 {0}~{1}의 물리 피해 추가"
"Adds {0} to {1} Physical Damage to Spells while wielding a Two Handed Weapon","양손 무기 사용 시 주문 시전 시 {0}~{1}의 물리 피해 추가"
"{0}% increased Elemental Damage with Wands","마법봉 사용 시 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage with Wands","마법봉 사용 시 원소 피해 {0}% 감소"
"{0}% increased Elemental Damage with Staves","지팡이 사용 시 원소 피해 {0}% 증가"
"{0}% reduced Elemental Damage with Staves","지팡이 사용 시 원소 피해 {0}% 감소"
"{0}% chance to gain an Endurance Charge when you Block","막아낼 시 {0}%의 확률로 인내 충전 획득"
"Gain an Endurance Charge when you Block","막아낼 시 인내 충전 획득"
"{0}% increased Endurance Charge Duration","인내 충전 지속시간 {0}% 증가"
"{0}% reduced Endurance Charge Duration","인내 충전 지속시간 {0}% 감소"
"Gain a Frenzy Charge when an Enemy Blocks your Damage","적이 피해를 막아낼 시 격분 충전 획득"
"{0}% increased Frenzy Charge Duration","격분 충전 지속시간 {0}% 증가"
"{0}% reduced Frenzy Charge Duration","격분 충전 지속시간 {0}% 감소"
"{0}% chance to gain a Power Charge when you Block","막아낼 시 {0}%의 확률로 권능 충전 획득"
"Gain a Power Charge when you Block","막아낼 시 권능 충전 획득"
"{0}% increased Area of Effect per Power Charge","권능 충전 하나당 효과 범위 {0}% 증가"
"{0}% chance to gain a Power Charge when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 {0}%의 확률로 권능 충전 획득"
"Gain a Power Charge when your Trap is triggered by an Enemy","자신의 덫이 적에 의해 발동되면 권능 충전 획득"
"{0}% chance to gain a Power Charge when your Mine is Detonated targeting an Enemy","적을 표적으로 지뢰 발동 시 {0}%의 확률로 권능 충전 획득"
"Gain a Power Charge when your Mine is Detonated targeting an Enemy","적을 표적으로 지뢰 발동 시 권능 충전 획득"
"{0}% increased Damage over Time per Frenzy Charge","격분 충전 하나당 지속 피해 {0}% 증가"
"{0}% increased Damage over Time per Power Charge","권능 충전 하나당 지속 피해 {0}% 증가"
"{0}% increased Damage over Time while Dual Wielding","쌍수 사용 시 지속 피해 {0}% 증가"
"{0}% increased Damage over Time while holding a Shield","방패를 들고 있는 동안 지속 피해 {0}% 증가"
"{0}% increased Damage over Time while wielding a Two Handed Weapon","양손 무기 사용 시 지속 피해 {0}% 증가"
"{0}% increased Elemental Damage per Frenzy Charge","격분 충전 하나당 원소 피해 {0}% 증가"
"{0}% increased Physical Damage per Endurance Charge","인내 충전 하나당 물리 피해 {0}% 증가"
"{0}% reduced Physical Damage per Endurance Charge","인내 충전 하나당 물리 피해 {0}% 감소"
"{0}% increased Spell Damage per Power Charge","권능 충전 하나당 주문 피해 {0}% 증가"
"{0}% increased Wand Damage per Power Charge","권능 충전 하나당 마법봉 피해 {0}% 증가"
"{0}% increased Power Charge Duration","권능 충전 지속시간 {0}% 증가"
"{0}% reduced Power Charge Duration","권능 충전 지속시간 {0}% 감소"
"Gain a Power Charge when you Kill a Shocked Enemy","감전된 적 처치 시 권능 충전 획득"
"{0}% increased Effect of Buffs on you","플레이어의 버프 효과 {0}% 증가"
"{0}% increased Effect of Auras on you","플레이어의 오라 효과 {0}% 증가"
"{0}% increased Effect of Auras on your Minions","소환수의 오라 효과 {0}% 증가"
"{0}% increased Movement Speed on Shocked Ground","감전 지대에서 이동 속도 {0}% 증가"
"{0}% increased Damage on Burning Ground","용암 지대에서 피해 {0}% 증가"
"{0}% increased Effect of Chilled Ground on you","플레이어가 받는 얼음 지대 효과 {0}% 증가"
"{0}% reduced Effect of Chilled Ground on you","플레이어가 받는 얼음 지대 효과 {0}% 감소"
"{0}% increased Effect of Burning Ground on you","플레이어가 받는 용암 지대 효과 {0}% 증가"
"{0}% reduced Effect of Burning Ground on you","플레이어가 받는 용암 지대 효과 {0}% 감소"
"{0}% increased Effect of Shocked Ground on you","플레이어가 받는 감전 지대 효과 {0}% 증가"
"{0}% reduced Effect of Shocked Ground on you","플레이어가 받는 감전 지대 효과 {0}% 감소"
"{0}% increased Effect of Desecrated Ground on you","플레이어가 받는 훼손된 대지 효과 {0}% 증가"
"{0}% reduced Effect of Desecrated Ground on you","플레이어가 받는 훼손된 대지 효과 {0}% 감소"
"Gain a Power Charge when an Enemy Interrupts you while you're Casting a Spell","주문을 시전하는 동안 방해받을 시 권능 충전 획득"
"Nearby Party members gain Endurance Charges whenever you do","인내 충전 획득 시 근접한 파티원도 인내 충전 획득"
"Nearby Party members gain Frenzy Charges whenever you do","격분 충전 획득 시 근접한 파티원도 격분 충전 획득"
"Nearby Party members gain Power Charges whenever you do","권능 충전 획득 시 근처 파티원도 권능 충전 획득"
"{0}% increased total Recovery per second from Life Leech","생명력 흡수 시 1초마다 총 회복량 {0}% 증가"
"{0}% reduced total Recovery per second from Life Leech","생명력 흡수 시 초당 총 회복량 {0}% 감소"
"{0}% increased total Recovery per second from Mana Leech","마나 흡수 시 초당 총 회복량 {0}% 증가"
"{0}% reduced total Recovery per second from Mana Leech","마나 흡수 시 초당 총 회복량 {0}% 감소"
"{0}% increased total Recovery per second from Energy Shield Leech","에너지 보호막 흡수 시 초당 총 회복량 {0}% 증가"
"{0}% reduced total Recovery per second from Energy Shield Leech","에너지 보호막 흡수 시 초당 총 회복량 {0}% 감소"
"{0} to Maximum number of Raised Zombies","소환 가능한 좀비 수 최대치 {0}"
"{0} to Maximum number of Spectres","악령 수 최대치 {0}"
"{0} to Maximum number of Skeletons","해골 수 최대치 {0}"
"{0} to maximum number of Raging Spirits","격노의 유령 수 최대치 {0}"
"Curses you Cast never expire","플레이어가 시전하는 저주가 사라지지 않음"
"{0}% Chance to Dodge Attack Hits","{0}%의 확률로 공격 적중 완벽회피"
"{0}% Chance to Dodge Spell Hits","{0}%의 확률로 주문 적중 완벽회피"
"Removes all Armour","모든 방어도 제거"
"Removes all Energy Shield","모든 에너지 보호막 제거"
"Provides Immunity to Chaos Damage","카오스 피해에 면역"
"You can apply an additional Curse","추가 저주 적용 가능"
"You can apply {0} additional Curses","추가 저주 {0}개 적용 가능"
"An additional Curse can be applied to you","플레이어에게 추가 저주 적용 가능"
"{0} additional Curses can be applied to you","플레이어에게 추가 저주 {0}개 적용 가능"
"{0}% increased Effect of Curses on you","플레이어에게 걸린 저주 효과 {0}% 증가"
"{0}% reduced Effect of Curses on you","플레이어에게 걸린 저주 효과 {0}% 감소"
"{0}% increased Duration of Curses on you","플레이어에게 걸린 저주 지속시간 {0}% 증가"
"{0}% reduced Duration of Curses on you","플레이어에게 걸린 저주 지속시간 {0}% 감소"
"Cannot be Stunned when on Low Life","낮은 생명력 상태에서 기절하지 않음"
"Gain {0}% of Maximum Mana as Extra Maximum Energy Shield","최대 마나의 {0}%를 추가 에너지 보호막 최대치로 획득"
"All Physical Damage Converted to Fire Damage","모든 물리 피해를 화염 피해로 전환"
"{0}% of Physical Damage Converted to Fire Damage against Ignited Enemies","점화된 적에게 주는 물리 피해의 {0}%를 화염 피해로 전환"
"Never deal Critical Strikes","치명타 확률 없음"
"Removes all mana","모든 마나를 제거"
"Ignore all Movement Penalties from Armour","갑옷으로 인한 모든 이동 패널티 무시"
"{0}% increased Flask Charges gained","플라스크 충전 획득 {0}% 증가"
"{0}% reduced Flask Charges gained","플라스크 충전 획득 {0}% 감소"
"{0}% increased Flask Charges used","플라스크 충전 사용 {0}% 증가"
"{0}% reduced Flask Charges used","플라스크 충전 사용 {0}% 감소"
"{0}% increased Flask Effect Duration","플라스크 효과 지속시간 {0}% 증가"
"{0}% reduced Flask Effect Duration","플라스크 효과 지속시간 {0}% 감소"
"{0}% increased Flask Life Recovery rate","플라스크로 얻는 생명력 회복 속도 {0}% 증가"
"{0}% reduced Flask Life Recovery rate","플라스크로 얻는 생명력 회복 속도 {0}% 감소"
"{0}% increased Flask Mana Recovery rate","플라스크로 얻는 마나 회복 속도 {0}% 증가"
"{0}% reduced Flask Mana Recovery rate","플라스크로 얻는 마나 회복 속도 {0}% 감소"
"Cannot Resist Cold Damage","냉기 피해 저항 불가"
"All bonuses from an Equipped Shield apply to your Minions instead of you","장착한 방패가 주는 모든 보너스를 자신 대신 소환수에게 적용"
"{0}% more maximum Energy Shield","에너지 보호막 최대치 {0}% 증폭"
"{0}% less maximum Energy Shield","에너지 보호막 최대치 {0}% 감폭"
"{0}% more Spell Damage","주문 피해 {0}% 증폭"
"{0}% less Spell Damage","주문 피해 {0}% 감폭"
"{0}% increased effect of Elemental Equilibrium","원소 균형 효과 {0}% 증가"
"Enemies you Attack Reflect {0} Physical Damage to you","공격받은 적이 플레이어에게 {0}의 물리 피해 반사"
"Enemies you Attack Reflect {0} to {1} Physical Damage to you","공격받은 적이 플레이어에게 {0}~{1}의 물리 피해 반사"
"Reflects {0} to {1} Physical Damage to Melee Attackers","근접 공격자에게 {0}~{1}의 물리 피해 반사"
"Reflects {0} to {1} Fire Damage to Melee Attackers","근접 공격자에게 {0}~{1}의 화염 피해 반사"
"Reflects {0} to {1} Cold Damage to Melee Attackers","근접 공격자에게 {0}~{1}의 냉기 피해 반사"
"Reflects {0} to {1} Lightning Damage to Melee Attackers","근접 공격자에게 {0}~{1}의 번개 피해 반사"
"Reflects {0} to {1} Chaos Damage to Melee Attackers","근접 공격자에게 {0}~{1}의 카오스 피해 반사"
"Reflects {0} Physical Damage to Melee Attackers","근접 공격자에게 {0}의 물리 피해 반사"
"Reflects {0} Cold Damage to Melee Attackers","근접 공격자에게 {0}의 냉기 피해 반사"
"Reflects {0} Fire Damage to Melee Attackers","근접 공격자에게 {0}의 화염 피해 반사"
"Reflects {0} Lightning Damage to Melee Attackers","근접 공격자에게 {0}의 번개 피해 반사"
"Reflects {0} Chaos Damage to Melee Attackers","근접 공격자에게 {0}의 카오스 피해 반사"
"Reflects {0} Physical Damage when Hit","피격 시 {0}의 물리 피해 반사"
"Reflects {0} Fire Damage when Hit","피격 시 {0}의 화염 피해 반사"
"Reflects {0} Cold Damage when Hit","피격 시 {0}의 냉기 피해 반사"
"Reflects {0} Lightning Damage when Hit","피격 시 {0}의 번개 피해 반사"
"Reflects {0} Chaos Damage when Hit","피격 시 {0}의 카오스 피해 반사"
"{0} Physical Damage taken from Attack Hits","공격 적중 시 받는 물리 피해 {0}"
"Projectiles deal {0}% more Damage","투사체가 주는 피해 {0}% 증폭"
"Projectiles deal {0}% less Damage","투사체가 주는 피해 {0}% 감폭"
"Damage Over Time caused by Projectiles deals {0}% more Damage","투사체로 발생하는 지속 피해가 주는 피해 {0}% 증폭"
"Damage Over Time caused by Projectiles deals {0}% less Damage","투사체로 발생하는 지속 피해가 주는 피해 {0}% 감폭"
"{0}% additional chance to Dodge Attack Hits","공격 완벽회피 확률 {0}% 추가"
"{0}% additional chance to Dodge Spell Hits","주문 완벽회피 추가 확률 {0}%"
"Your Skills deal you {0}% of Mana Spent on Skill Mana Costs as Physical Damage","스킬 사용 시 마나 소모의 {0}%를 물리 피해로 받음"
